transaction_id,timestamp,customer_id,product_id,product_category,quantity,price,discount,payment_method,customer_age,customer_gender,customer_location,total_amount
987232.0,11/16/2024 13:51,2643.0,850.0,Clothing,7.0,254.78,0.44,PayPal,47.0,Female,South America,998.74
79955.0,2/25/2023 12:34,2987.0,554.0,Beauty & Personal Care,2.0,389.54,0.47,Gift Card,31.0,Female,Africa,
567131.0,1/29/2024 20:10,1792.0,429.0,Home & Kitchen,7.0,100.96,0.46,Credit Card,46.0,Female,North America,381.63
500892.0,12/14/2023 20:11,4158.0,351.0,,,312.38,0.18,,,Other,North America,512.3
55400.0,2/8/2023 11:19,4921.0,,Electronics,1.0,187.54,0.4,PayPal,23.0,Other,Australia,112.52
135050.0,4/4/2023 18:49,3308.0,315.0,Books,6.0,51.49,0.15,PayPal,26.0,Male,Africa,262.6
,5/24/2024 6:58,1636.0,432.0,Home & Kitchen,,215.79,0.33,,40.0,Female,Europe,1156.63
732058.0,5/23/2024 8:57,4368.0,703.0,Sports & Outdoors,9.0,,0.17,Gift Card,69.0,,,3233.17
51334.0,2/5/2023 15:33,2441.0,112.0,Home & Kitchen,8.0,354.22,,Debit Card,28.0,Other,Europe,2040.31
,5/22/2024 23:19,3335.0,376.0,Electronics,1.0,35.32,,Credit Card,19.0,Female,Africa,18.72
399759.0,10/5/2023 14:38,2802.0,392.0,Sports & Outdoors,5.0,251.72,0.29,Credit Card,,Male,Australia,893.61
401398.0,10/6/2023 17:57,2377.0,,Beauty & Personal Care,2.0,427.13,0.43,,64.0,Female,Africa,
855486.0,8/17/2024 2:05,1542.0,121.0,Electronics,8.0,197.27,0.14,Gift Card,,Female,Africa,1357.22
858885.0,8/19/2024 10:44,4565.0,271.0,Beauty & Personal Care,9.0,123.11,0.18,,51.0,Other,Asia,908.55
503248.0,12/16/2023 11:27,2911.0,996.0,Sports & Outdoors,,76.2,0.08,Debit Card,49.0,Male,Asia,
,8/23/2024 12:21,4251.0,234.0,Clothing,8.0,,0.2,Credit Card,48.0,Male,Asia,3195.14
35033.0,,,390.0,Clothing,8.0,232.31,0.43,Gift Card,54.0,,Australia,1059.33
,11/22/2024 11:03,2420.0,893.0,Beauty & Personal Care,8.0,147.1,0.39,Gift Card,21.0,Male,Asia,717.85
376762.0,9/19/2023 15:21,4865.0,169.0,Sports & Outdoors,7.0,271.47,0.41,Credit Card,51.0,Female,South America,1121.17
811354.0,7/17/2024 10:33,1301.0,809.0,Home & Kitchen,7.0,9.93,0.34,,37.0,Female,Australia,45.88
577746.0,,1323.0,506.0,Books,2.0,,0.41,PayPal,38.0,Male,South America,579.75
659807.0,4/3/2024 4:46,,795.0,,6.0,185.63,0.34,Debit Card,68.0,Other,Africa,735.09
,6/2/2023 7:39,1645.0,341.0,,8.0,,0.25,Credit Card,44.0,Male,Europe,1372.32
979756.0,11/11/2024 9:15,1281.0,339.0,Electronics,6.0,254.29,0.3,PayPal,,Female,South America,1068.02
625692.0,3/10/2024 12:11,4895.0,779.0,Sports & Outdoors,8.0,254.22,,Debit Card,21.0,Female,Australia,1972.75
215340.0,5/30/2023 12:59,2725.0,893.0,Beauty & Personal Care,,57.76,0.35,Gift Card,37.0,Male,Africa,300.35
443418.0,11/4/2023 22:17,3976.0,886.0,Electronics,,404.69,0.45,,39.0,Male,,1112.9
,11/11/2024 18:48,2391.0,904.0,Electronics,1.0,185.67,0.15,Debit Card,54.0,Female,Australia,157.82
336984.0,8/23/2023 0:23,3272.0,,Electronics,6.0,234.66,0.04,Credit Card,59.0,,Asia,1351.64
518813.0,12/27/2023 6:52,,691.0,Beauty & Personal Care,2.0,375.62,0.02,Credit Card,43.0,Male,,736.22
943379.0,10/17/2024 2:58,,108.0,Sports & Outdoors,,194.26,0.12,,45.0,,Asia,1538.54
2086.0,,4143.0,703.0,Electronics,,339.02,0.38,Gift Card,49.0,Female,South America,1261.15
663616.0,4/5/2024 20:15,4890.0,786.0,Sports & Outdoors,2.0,,,PayPal,33.0,Male,North America,691.3
677815.0,4/15/2024 16:54,2438.0,207.0,Home & Kitchen,3.0,292.81,,,38.0,,Asia,746.67
,,4034.0,190.0,Sports & Outdoors,1.0,140.92,0.36,PayPal,43.0,Male,Asia,90.19
543083.0,1/13/2024 3:22,4616.0,538.0,Books,7.0,467.28,0.33,Credit Card,25.0,Male,Europe,2191.54
529928.0,1/4/2024 0:07,1282.0,259.0,,,197.29,0.19,PayPal,66.0,Other,Australia,
,2/16/2023 1:36,3799.0,124.0,,4.0,406.53,0.43,PayPal,67.0,Other,Europe,926.89
272967.0,7/9/2023 13:26,1342.0,100.0,Books,,499.67,0.24,PayPal,32.0,Female,North America,1898.75
876376.0,8/31/2024 14:15,3058.0,661.0,Home & Kitchen,9.0,224.79,0.43,Gift Card,66.0,Male,Africa,1153.17
443182.0,11/4/2023 18:21,3877.0,283.0,Electronics,8.0,498.96,,Credit Card,38.0,Other,Asia,
,1/27/2023 21:47,4638.0,775.0,Electronics,1.0,109.36,0.07,Gift Card,21.0,Female,Europe,101.7
244519.0,6/19/2023 19:18,4643.0,999.0,Clothing,,362.87,,,57.0,Female,Europe,1596.63
321942.0,8/12/2023 13:41,1958.0,511.0,Sports & Outdoors,8.0,,0.46,PayPal,40.0,Female,Australia,1524.7
212424.0,5/28/2023 12:23,2827.0,922.0,,4.0,266.1,0.25,Gift Card,,Male,North America,798.3
684488.0,4/20/2024 8:07,1026.0,112.0,Electronics,4.0,271.18,0.21,Gift Card,,Female,Asia,856.93
460022.0,11/16/2023 11:01,,190.0,Clothing,6.0,331.74,0.11,Gift Card,68.0,Other,,1771.49
,8/18/2023 17:17,,956.0,Sports & Outdoors,9.0,322.41,0.41,Gift Card,37.0,Male,Africa,
820288.0,7/23/2024 15:27,2724.0,564.0,Home & Kitchen,7.0,26.35,0.27,Debit Card,50.0,Other,North America,134.65
934969.0,10/11/2024 6:48,3855.0,443.0,Clothing,2.0,489.8,0.36,Gift Card,23.0,Other,North America,626.94
878903.0,9/2/2024 8:22,1745.0,537.0,Electronics,3.0,484.97,0.01,Debit Card,58.0,,Australia,1440.36
,12/19/2023 2:14,4537.0,261.0,Sports & Outdoors,8.0,35.32,0.02,PayPal,62.0,,Africa,276.91
63469.0,2/14/2023 1:48,,209.0,,,123.82,0.22,Credit Card,32.0,Male,,96.58
568671.0,1/30/2024 21:50,,867.0,Electronics,,493.91,0.44,Gift Card,38.0,Other,,2212.72
855772.0,8/17/2024 6:51,2969.0,191.0,Books,6.0,209.11,0.21,Debit Card,61.0,Female,North America,991.18
606373.0,2/26/2024 2:12,2359.0,400.0,Home & Kitchen,,178.95,0.4,PayPal,50.0,Female,Africa,429.48
358901.0,,4597.0,633.0,,1.0,107.74,0.09,,58.0,Female,Europe,98.04
,5/4/2023 21:12,4852.0,311.0,Clothing,8.0,,0.07,Debit Card,20.0,,South America,2099.94
,10/2/2024 5:14,2109.0,931.0,Books,9.0,100.9,,Gift Card,64.0,Male,South America,553.94
,8/30/2023 22:05,3674.0,664.0,Home & Kitchen,5.0,18.3,0.14,Gift Card,31.0,Female,Asia,
377483.0,,4161.0,,Home & Kitchen,,25.38,0.1,Credit Card,43.0,Female,Europe,182.74
44793.0,2/1/2023 2:32,3859.0,,Sports & Outdoors,9.0,14.08,,Gift Card,63.0,Male,,77.3
690928.0,4/24/2024 19:27,2520.0,395.0,Electronics,2.0,372.58,0.41,Credit Card,54.0,,,439.64
,2/4/2023 22:33,4914.0,713.0,Clothing,5.0,237.76,0.44,Gift Card,,Male,Europe,665.73
780882.0,6/26/2024 6:41,2615.0,126.0,Beauty & Personal Care,3.0,124.76,0.48,PayPal,55.0,Other,Europe,194.63
18959.0,1/14/2023 3:58,2409.0,190.0,Clothing,4.0,,0.48,PayPal,64.0,Other,Africa,81.52
804704.0,7/12/2024 19:43,,542.0,Clothing,5.0,412.77,0.46,,44.0,Female,Australia,1114.48
8986.0,1/7/2023 5:45,4723.0,849.0,Clothing,5.0,229.72,0.19,Credit Card,22.0,Male,South America,930.37
99902.0,3/11/2023 9:01,4138.0,962.0,Electronics,,278.52,0.49,Debit Card,35.0,Female,Africa,
655319.0,3/31/2024 1:58,3998.0,,Beauty & Personal Care,5.0,445.25,0.32,Gift Card,42.0,Female,South America,1513.85
224929.0,6/6/2023 4:48,2152.0,936.0,Electronics,4.0,88.35,0.06,Gift Card,69.0,Female,North America,
,10/5/2024 11:45,1222.0,749.0,Home & Kitchen,7.0,244.04,0.46,Credit Card,46.0,Male,Australia,922.47
67899.0,2/17/2023 3:38,2518.0,,Electronics,5.0,423.11,0.25,Gift Card,62.0,,North America,1586.66
68879.0,2/17/2023 19:58,3872.0,,Clothing,,447.45,,PayPal,58.0,Female,Australia,1396.04
904485.0,,3828.0,387.0,,3.0,380.3,0.01,,48.0,,North America,1129.49
244300.0,6/19/2023 15:39,3031.0,770.0,Home & Kitchen,2.0,415.11,0.32,PayPal,53.0,Male,Asia,564.55
912238.0,9/25/2024 11:57,1886.0,305.0,Clothing,7.0,232.55,0.28,Gift Card,35.0,Male,Africa,1172.05
803685.0,7/12/2024 2:44,4012.0,396.0,Books,4.0,120.76,0.22,,69.0,,,376.77
444937.0,,4792.0,,Home & Kitchen,8.0,148.58,0.12,PayPal,52.0,Male,Asia,1046.0
895959.0,9/14/2024 4:38,4786.0,549.0,Electronics,2.0,204.53,0.34,Gift Card,32.0,Female,Australia,269.98
858829.0,8/19/2024 9:48,2593.0,,Beauty & Personal Care,9.0,,0.25,Debit Card,,,Africa,1123.81
575348.0,,3584.0,760.0,Electronics,2.0,362.63,,Debit Card,45.0,Male,Australia,551.2
464017.0,11/19/2023 5:36,2654.0,375.0,,3.0,103.39,0.31,Gift Card,63.0,Male,Europe,214.02
196830.0,5/17/2023 16:29,3874.0,949.0,Clothing,,396.44,0.25,Debit Card,19.0,Other,Africa,2378.64
309024.0,8/3/2023 14:23,,446.0,Home & Kitchen,4.0,60.44,0.34,Debit Card,,Female,Europe,159.56
347382.0,8/30/2023 5:41,2816.0,155.0,Home & Kitchen,9.0,39.88,0.41,Debit Card,67.0,Female,North America,211.76
310805.0,8/4/2023 20:04,4143.0,640.0,,1.0,498.61,0.49,,,Male,Australia,254.29
,8/4/2024 14:43,3233.0,,Clothing,6.0,123.21,,PayPal,42.0,Female,North America,
268241.0,7/6/2023 6:40,2243.0,413.0,Electronics,5.0,,0.27,PayPal,39.0,Female,North America,741.61
366138.0,9/12/2023 6:17,4124.0,255.0,Home & Kitchen,4.0,,0.18,Debit Card,28.0,Male,Africa,825.58
,11/9/2023 5:16,,973.0,Electronics,7.0,425.01,0.2,Gift Card,51.0,,North America,2380.06
586918.0,2/12/2024 13:57,,191.0,,9.0,230.25,0.33,Gift Card,43.0,Female,Africa,1388.41
980754.0,11/12/2024 1:53,2376.0,,Clothing,9.0,330.92,0.36,PayPal,,Male,Australia,1906.1
51663.0,2/5/2023 21:02,4546.0,,Books,7.0,141.67,0.2,PayPal,42.0,Female,Asia,793.35
892874.0,9/12/2024 1:13,1913.0,,Electronics,1.0,71.27,0.26,Debit Card,21.0,Female,South America,
576799.0,2/5/2024 13:18,2207.0,,Home & Kitchen,1.0,69.52,0.49,Gift Card,52.0,,Africa,35.46
480867.0,11/30/2023 22:26,2292.0,502.0,Home & Kitchen,6.0,427.01,0.17,Credit Card,50.0,Female,North America,2126.51
550671.0,1/18/2024 9:50,1638.0,256.0,,2.0,27.6,0.23,Gift Card,54.0,Female,,
584292.0,,2810.0,,Electronics,4.0,302.27,,PayPal,49.0,Male,Africa,797.99
362132.0,9/9/2023 11:31,4348.0,824.0,Electronics,,302.67,0.31,Gift Card,19.0,Other,North America,208.84
,1/24/2023 3:19,2339.0,494.0,Home & Kitchen,4.0,418.49,0.01,PayPal,41.0,Female,North America,1657.22
215538.0,5/30/2023 16:17,2903.0,809.0,Clothing,2.0,408.66,0.02,Credit Card,,,,800.97
126315.0,,2584.0,489.0,Electronics,8.0,476.58,,Credit Card,41.0,Other,Asia,2859.48
460374.0,,2425.0,362.0,Home & Kitchen,5.0,,0.32,PayPal,35.0,Male,,560.46
,12/6/2023 20:19,4177.0,,Home & Kitchen,6.0,475.53,0.37,Debit Card,27.0,Female,North America,1797.5
63225.0,,3618.0,898.0,Electronics,5.0,213.03,0.03,PayPal,30.0,Female,Asia,1033.2
965340.0,11/1/2024 8:59,2087.0,142.0,Beauty & Personal Care,5.0,483.87,0.08,Credit Card,,Female,,
,6/25/2024 9:55,4697.0,384.0,Beauty & Personal Care,4.0,,0.43,Gift Card,50.0,Male,,717.63
695826.0,4/28/2024 5:05,4765.0,353.0,Electronics,9.0,42.18,,Gift Card,35.0,Male,,
561881.0,1/26/2024 4:40,1150.0,606.0,Sports & Outdoors,6.0,488.27,0.41,Credit Card,32.0,Female,Asia,1728.48
,7/14/2023 10:34,,223.0,Home & Kitchen,9.0,,0.4,Debit Card,,Other,Australia,1333.21
876145.0,8/31/2024 10:24,2099.0,421.0,Beauty & Personal Care,4.0,246.5,0.44,Credit Card,33.0,Other,Europe,
,2/2/2024 1:09,,663.0,Beauty & Personal Care,,464.5,0.16,Credit Card,41.0,Male,Europe,
435459.0,10/30/2023 9:38,1115.0,998.0,Electronics,7.0,441.69,0.11,Debit Card,58.0,Female,North America,
256148.0,6/27/2023 21:07,2202.0,999.0,Sports & Outdoors,1.0,379.27,0.41,,32.0,Female,Australia,223.77
527944.0,1/2/2024 15:03,3463.0,607.0,Electronics,9.0,237.49,0.24,Gift Card,59.0,Female,North America,1624.43
330302.0,8/18/2023 9:01,4347.0,219.0,Home & Kitchen,8.0,115.11,0.34,,43.0,Other,South America,607.78
872560.0,8/28/2024 22:39,1521.0,268.0,Home & Kitchen,4.0,64.2,0.32,Debit Card,51.0,Female,Europe,174.62
,2/18/2023 2:14,1812.0,775.0,Electronics,4.0,444.51,0.47,,33.0,Female,Australia,942.36
678876.0,4/16/2024 10:35,3645.0,635.0,Home & Kitchen,1.0,,0.08,Gift Card,53.0,Female,Europe,232.07
275406.0,,,732.0,Electronics,8.0,173.58,0.11,Debit Card,66.0,Female,Asia,
943252.0,10/17/2024 0:51,1147.0,399.0,Clothing,8.0,,0.12,Debit Card,31.0,Male,,1245.45
587306.0,2/12/2024 20:25,3981.0,591.0,Sports & Outdoors,2.0,459.07,0.35,Debit Card,44.0,Female,Asia,596.79
889146.0,9/9/2024 11:05,3218.0,975.0,Home & Kitchen,7.0,241.59,0.22,Debit Card,66.0,Female,Europe,1319.08
379067.0,,4255.0,987.0,Clothing,8.0,158.62,0.5,Credit Card,56.0,Female,Asia,634.48
115772.0,3/22/2023 9:31,2494.0,488.0,Clothing,7.0,,0.41,Gift Card,62.0,Female,Africa,1044.23
,,1424.0,650.0,Electronics,1.0,86.69,0.09,PayPal,49.0,,Australia,78.89
,,3755.0,494.0,Sports & Outdoors,8.0,,0.29,Gift Card,39.0,Male,South America,1000.59
675595.0,4/14/2024 3:54,1329.0,656.0,Electronics,,,0.49,Credit Card,,Male,Australia,68.54
400808.0,10/6/2023 8:07,1260.0,958.0,Books,8.0,366.51,0.3,Debit Card,64.0,,Asia,2052.46
565511.0,1/28/2024 17:10,,634.0,Beauty & Personal Care,,448.86,0.36,PayPal,43.0,,North America,2010.89
100076.0,,2409.0,505.0,Sports & Outdoors,8.0,477.34,0.48,PayPal,26.0,,Australia,1985.73
701083.0,5/1/2024 20:42,4000.0,677.0,Clothing,6.0,,0.17,Gift Card,67.0,Male,North America,278.23
103661.0,3/13/2023 23:40,,530.0,Beauty & Personal Care,8.0,408.66,0.36,Gift Card,65.0,Male,Australia,2092.34
172272.0,4/30/2023 15:11,1713.0,916.0,,,26.53,0.0,Debit Card,62.0,Female,,26.53
331228.0,8/19/2023 0:27,,,Books,1.0,267.29,0.02,Credit Card,43.0,Female,Australia,261.94
259150.0,6/29/2023 23:09,3989.0,698.0,Books,8.0,198.08,0.36,Credit Card,,Male,Africa,1014.17
938627.0,10/13/2024 19:46,2330.0,685.0,,5.0,6.56,0.42,PayPal,31.0,,South America,19.02
,,1154.0,178.0,Clothing,7.0,28.95,0.09,Credit Card,48.0,Female,Europe,184.41
,11/18/2024 17:06,3243.0,,Electronics,7.0,10.83,,Credit Card,58.0,Male,Europe,
829830.0,,3291.0,901.0,,2.0,31.81,0.36,Debit Card,41.0,Male,South America,40.72
875278.0,,1139.0,786.0,,,240.35,0.43,Debit Card,68.0,Other,,
256730.0,6/28/2023 6:49,2264.0,830.0,Sports & Outdoors,6.0,418.57,0.3,PayPal,64.0,Male,Europe,1757.99
246896.0,,4615.0,944.0,Books,5.0,250.82,0.5,Gift Card,,Male,Asia,627.05
40811.0,1/29/2023 8:10,3826.0,177.0,Sports & Outdoors,9.0,65.54,,Credit Card,46.0,Other,Asia,448.29
314675.0,,,524.0,Books,3.0,18.14,0.41,Gift Card,30.0,Other,Asia,32.11
